platform,source_id,url,phone_model_id,data_type,raw_text,cleaned_text,search_kw,created_at,like_count,fav_count,comment_count
smzdm,smzdm_1764988952767_9287,https://www.smzdm.com/p/163743757/,iphone_16_pro,post,【价格: 5399元】 今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属 (12-05 11:37 唯品会),今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属,iPhone 16 Pro,2025-12-06T10:42:32,0,0,0
smzdm,smzdm_1764989020704_2819,https://www.smzdm.com/p/162255548/,iphone_16_pro,post,【价格: 5449元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属 (11-12 08:19 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-06T10:43:40,0,0,0
smzdm,smzdm_1764989086678_2640,https://www.smzdm.com/p/160483436/,iphone_16_pro,post,【价格: 5499元（需用券）】 国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属 (10-29 07:15 京东),国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-06T10:44:46,0,0,0
smzdm,smzdm_1764989192436_9210,https://post.smzdm.com/p/a4425x0k/,iphone_16_pro,post,【价格: 无】 iPhone17真香！我却买了丐版16P——iPhone16pro与刚需周边体验谈 (09-18 17:27),iPhone17真香！我却买了丐版16P——iPhone16pro与刚需周边体验谈,iPhone 16 Pro,2025-12-06T10:46:32,0,0,0
smzdm,smzdm_1764989260860_6696,https://www.smzdm.com/p/163870953/,iphone_16_pro,post,【价格: 4888元（淘金币可抵48.88元起）】 移动端：Apple 苹果 iPhone 16 Pro 5G手机 (12-05 10:48 天猫国际),移动端：Apple 苹果 iPhone 16 Pro 5G手机,iPhone 16 Pro,2025-12-06T10:47:40,0,0,0
smzdm,smzdm_1764989327839_4825,https://www.smzdm.com/p/162433323/,iphone_16_pro,post,【价格: 5449元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属 (11-14 17:29 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属,iPhone 16 Pro,2025-12-06T10:48:47,0,0,0
smzdm,smzdm_1764989393637_9892,https://www.smzdm.com/p/162268372/,iphone_16_pro,post,【价格: 5444元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属 (11-12 10:21 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 原色钛金属,iPhone 16 Pro,2025-12-06T10:49:53,0,0,0
