platform,source_id,url,phone_model_id,data_type,raw_text,cleaned_text,search_kw,created_at,like_count,fav_count,comment_count
smzdm,smzdm_1764979532852_5928,https://www.smzdm.com/p/163743757/,iphone_16_pro,post,【价格: 5399元】 今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属 (12-05 11:37 唯品会),今日必买：苹果 Apple iPhone 16 Pro 5G手机 128GB 黑色钛金属,iPhone 16 Pro,2025-12-06T08:05:32,0,0,0
smzdm,smzdm_1764979600588_7675,https://www.smzdm.com/p/162255548/,iphone_16_pro,post,【价格: 5449元（需用券）】 苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属 (11-12 08:19 京东),苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-06T08:06:40,0,0,0
smzdm,smzdm_1764979666539_6016,https://www.smzdm.com/p/160483436/,iphone_16_pro,post,【价格: 5499元（需用券）】 国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属 (10-29 07:15 京东),国家补贴：苹果 Apple iPhone 16 Pro 5G手机 128GB 白色钛金属,iPhone 16 Pro,2025-12-06T08:07:46,0,0,0
